,name,rating,reviews,type,hq,old,employees
0,Uae Exchange & Financial...,4.0,176 Reviews,Private,Abu Dhabi + 61 more,40 years old,5001-10000 employees
1,Allscripts,4.3,176 Reviews,Private,Chicago + 2 more,34 years old,5001-10000 employees
2,Ugam Solution,3.7,176 Reviews,Private,Mumbai + 3 more,20 years old,1001-5000 employees
3,Merck,4.2,176 Reviews,Private,New Jersey + 28 more,129 years old,10000+ employees
4,SMC Global Securities,3.7,176 Reviews,Public,New Delhi + 27 more,30 years old,1001-5000 employees
5,J K Fenner,3.9,176 Reviews,Private,Madurai + 20 more,91 years old,1001-5000 employees
6,Hitachi,4.2,176 Reviews,Private,Tokyo + 38 more,100 years old,10000+ employees
7,Satyam Auto Components,4.0,176 Reviews,Private,New Delhi + 11 more,19 years old,1001-5000 employees
8,Patra Corporation,4.0,176 Reviews,Private,El Dorado Hills + 3 more,15 years old,51-200 employees
9,Bristlecone,3.4,175 Reviews,Private,San Jose + 3 more,22 years old,1001-5000 employees
10,Cadbury,4.5,175 Reviews,Private,Birmingham + 37 more,196 years old,10000+ employees
11,Sistema Shyam Teleservic...,4.7,175 Reviews,Private,Gurugram + 36 more,25 years old,1001-5000 employees
12,TTK Healthcare,4.0,175 Reviews,Public,Chennai + 41 more,62 years old,1001-5000 employees
13,Wuerth India,4.1,175 Reviews,Private,Mumbai + 36 more,26 years old,1001-5000 employees
14,Mazagon Dock,4.2,175 Reviews,Private,Mumbai,86 years old,5001-10000 employees
15,TCNS Clothing Company,4.1,175 Reviews,Public,Noida + 38 more,48 years old,501-1000 employees
16,HEISCO,4.0,175 Reviews,Private,Safat + 11 more,46 years old,5001-10000 employees
17,Reliance Money,4.1,174 Reviews,Private,Mumbai + 40 more,14 years old,1001-5000 employees
18,DBS Bank,3.6,174 Reviews,Private,Singapore + 12 more,52 years old,10000+ employees
19,Williams Lea Tag,3.7,174 Reviews,Public,London + 6 more,200 years old,10000+ employees
20,Ramada,4.0,174 Reviews,Private,New Jersey + 24 more,67 years old,10000+ employees
21,Ameriprise Financial,3.8,174 Reviews,Private,Minneapolis + 2 more,126 years old,10000+ employees
22,Mahanagar Gas,4.0,174 Reviews,Public,Mumbai + 9 more,25 years old,1001-5000 employees
23,Madura Coats,3.9,174 Reviews,Private,Middlesex + 27 more,46 years old,501-1000 employees
24,WorleyParsons,4.2,174 Reviews,Private,North Sydney + 17 more,49 years old,10000+ employees
25,Micron Electricals,4.1,174 Reviews,Private,Bangalore + 7 more,44 years old,1001-5000 employees
26,All India Radio,4.1,174 Reviews,Private,New Delhi + 51 more,90 years old,1001-5000 employees
27,Visionary RCM Infotech,3.2,174 Reviews,Private,Chennai + 3 more,14 years old,1001-5000 employees
28,Tata Capital Housing Fin...,4.1,174 Reviews,Public,Mumbai + 55 more,12 years old,5001-10000 employees
29,WAPCOS,4.0,174 Reviews,Private,New Delhi + 44 more,51 years old,1001-5000 employees
